member_path,bytes,sha256,scope
URP4/00_READ_ME_FIRST/ALGORITHM_AND_RESULT_GUIDE_KO.txt,3525,8ee2f18727b646e9655f1b44965829d7e5658be2a77d35296397af9331c95964,ordinary_member; manifest files excluded to avoid circularity
URP4/00_READ_ME_FIRST/ALGORITHM_FILE_INDEX.csv,76297,f7ccb06f37f77da83af05503d19382aa8c9a0e36ba0e6f48ccf56b4a371cabae,ordinary_member; manifest files excluded to avoid circularity
URP4/00_READ_ME_FIRST/ALGORITHM_PIPELINE_INDEX.csv,3107,4825a47f52a00c6789214d1eaa452d81aebddd6872f51ad3063624b48c24d1ad,ordinary_member; manifest files excluded to avoid circularity
URP4/00_READ_ME_FIRST/ALL_FILES_DESCRIPTION_INDEX_KO.csv,370878,980ce1f502e5275b0e8cb14f11f7a09d9b80a69c5b73de124b3d68ab1bfe8e8e,ordinary_member; manifest files excluded to avoid circularity
URP4/00_READ_ME_FIRST/ALL_FILES_DESCRIPTION_QA.json,534,d9913133368a65f7cbb79b431492b5db2276ce877b4ef382c22a2a3075e660b8,ordinary_member; manifest files excluded to avoid circularity
URP4/00_READ_ME_FIRST/FINAL_SUBMISSION_REPORT.md,2711,d03c246f28e9ee3ff505a447111da766a5503fd9b293d7ec68ae7cd78137896d,ordinary_member; manifest files excluded to avoid circularity
URP4/00_READ_ME_FIRST/MERGE_PACKET.md,1293,2cb5fc87d5be33ba1c2a25df168a5821c8c780a379c9ff4dae6fa458fa539e38,ordinary_member; manifest files excluded to avoid circularity
URP4/00_READ_ME_FIRST/README_ALL_FILES_TREE_AND_DESCRIPTION_KO.md,231342,360d260e77507b5c2712cde86a5ea7bdd34a339569b44c53630389aeccc1e601,ordinary_member; manifest files excluded to avoid circularity
URP4/00_READ_ME_FIRST/README_FIRST.md,14322,b77c06adcd92c4364b39259ddae3acc035dc15e10bb62095c7697af69211a55a,ordinary_member; manifest files excluded to avoid circularity
URP4/01_PROJECT_MAP_AND_LEDGER/CLAIM_AND_LIMITATION_LEDGER.csv,3326,44f605d7626848ce23e0f97b64df088e5acc9c3d359a63338435796fc5c5ee39,ordinary_member; manifest files excluded to avoid circularity
URP4/01_PROJECT_MAP_AND_LEDGER/CONTEXT_AND_DECISION_LINEAGE.md,5800,7d76752876cfdebd98ad5cb3e095557403f0f21fbdad8a5707986aca2e9ffab9,ordinary_member; manifest files excluded to avoid circularity
URP4/01_PROJECT_MAP_AND_LEDGER/CONTEXT_LINEAGE_REGISTER.csv,10648,a3108a33968583322564291001f9f33e6eefb8708b05d68a45f8a464af4b7154,ordinary_member; manifest files excluded to avoid circularity
URP4/01_PROJECT_MAP_AND_LEDGER/EVIDENCE_INDEX.csv,719689,7fd1469d23cb213b9ef25a0e1559d480266293f960b3810477fd5bd4b50149ff,ordinary_member; manifest files excluded to avoid circularity
URP4/01_PROJECT_MAP_AND_LEDGER/FILE_ALIAS_AND_PATH_INDEX.csv,35413,303f1b56e8c328317d7d80ec42ce913d584528fb00b01a06f1b3258ed43ce447,ordinary_member; manifest files excluded to avoid circularity
URP4/01_PROJECT_MAP_AND_LEDGER/FINAL_SUBMISSION_REPORT.md,1733,978b802eafdd5b21e7e5f07b399dffdd186f98f36e792600178f8f5658388899,ordinary_member; manifest files excluded to avoid circularity
URP4/01_PROJECT_MAP_AND_LEDGER/HANDOFF_CUTOFF_MANIFEST.json,4765,27716fe8edd3d5eecfbe937e75b310e1d1f3fc38cd20f0042f6f8b50906e1a52,ordinary_member; manifest files excluded to avoid circularity
URP4/01_PROJECT_MAP_AND_LEDGER/HQ_CELL_IMPLEMENTATION_MAP.csv,6383,b4510b67a2edb9c6e7f7678282015eb74768febbb40b0cf3570181e8643c8be6,ordinary_member; manifest files excluded to avoid circularity
URP4/01_PROJECT_MAP_AND_LEDGER/HQ_NOTEBOOK_CELL_TREE.csv,281304,5fcf7e0bec3e99e1463c0ca7e29e869a271c7f7d000eb928f3a3ebcc429e1e71,ordinary_member; manifest files excluded to avoid circularity
URP4/01_PROJECT_MAP_AND_LEDGER/MANIFEST_SCOPE_AND_REVISION_MAP.csv,809,a077f85987482699cc763e4d9400e5f2719d41a9b8308f7b7209ebe5af921797,ordinary_member; manifest files excluded to avoid circularity
URP4/01_PROJECT_MAP_AND_LEDGER/MERGE_PACKET.md,938,f73b0089df08eb2162bfd36594f6ca279afd16e8cd16b9caecaacf2c9f567512,ordinary_member; manifest files excluded to avoid circularity
URP4/01_PROJECT_MAP_AND_LEDGER/OPEN_GATES.csv,3852,dbc916e38fd98479ba3017d45b54fcb83664a6098da7caac935dba12318b4449,ordinary_member; manifest files excluded to avoid circularity
URP4/01_PROJECT_MAP_AND_LEDGER/OPEN_ISSUES_AND_NEXT_GATES.md,274,5ceb61554c70b2ac248473094b9b6382616f2e1f8aef17d7fd33607eb9d41449,ordinary_member; manifest files excluded to avoid circularity
URP4/01_PROJECT_MAP_AND_LEDGER/PACKAGE_VIEW_MANIFEST.json,4744,60e5a087a15e3e7b1b768fe537322b50fa66826d5c8f8ea3577eee605f8522e8,ordinary_member; manifest files excluded to avoid circularity
URP4/01_PROJECT_MAP_AND_LEDGER/PROJECT_SCHEMA.json,2340155,810ba629a91f02b09003c863e7df54f9d5fc367fc8ab044ebc0687dc9de13b43,ordinary_member; manifest files excluded to avoid circularity
URP4/01_PROJECT_MAP_AND_LEDGER/PYTHON_MODULE_AUDIT.csv,495932,6a125053dd5aac26bd1e5fbd8b69530939b5d1b18637a4d6505499a1f519d9cb,ordinary_member; manifest files excluded to avoid circularity
URP4/01_PROJECT_MAP_AND_LEDGER/RECONCILIATION_DISCREPANCIES.csv,9416,d61d6c65b372918bff945fd58a2a7a63f802d69be611b28aa2eb0a1535e36770,ordinary_member; manifest files excluded to avoid circularity
URP4/01_PROJECT_MAP_AND_LEDGER/REPRODUCTION_AND_RESUME_GUIDE.md,1126,5ee92816645e1a4b5f49de1d7d872b541b42a344a27241449798953659177375,ordinary_member; manifest files excluded to avoid circularity
URP4/01_PROJECT_MAP_AND_LEDGER/SOURCE_CUTOFF_MANIFEST.json,4686,a05ce1e45d663c3f1f1b60f3d54a6c4a5a172f9ea9366c0757f34a31566e42e1,ordinary_member; manifest files excluded to avoid circularity
URP4/01_PROJECT_MAP_AND_LEDGER/SUBMISSION_REQUIREMENTS_CHECKLIST.csv,2889,5987ec4b02350ce34d5dd9ab2a2e34a7d5910ac8f335335beee83685564f6570,ordinary_member; manifest files excluded to avoid circularity
URP4/01_PROJECT_MAP_AND_LEDGER/URP4_1_HQ_21CELL_RAW_FLOW.svg,136274,668e507e50592cb7e36fe8f3417e2a57bb73f742cd3a903bc9880f6df7f9c488,ordinary_member; manifest files excluded to avoid circularity
URP4/01_PROJECT_MAP_AND_LEDGER/URP4_1_HQ_PROJECT_MAP.html,3761,8beb5cba276378efe4dad36f175adbb1a2158fc5e3a804735586a7cbfdb979f9,ordinary_member; manifest files excluded to avoid circularity
URP4/01_PROJECT_MAP_AND_LEDGER/URP4_1_HQ_PROJECT_MAP.md,2052,c63910808efcf2dd2313ebe25ab542deb1af1d93dd8cce6056b4c0f31419031e,ordinary_member; manifest files excluded to avoid circularity
URP4/01_PROJECT_MAP_AND_LEDGER/URP4_1_HQ_PROJECT_MAP.svg,3978,b2e97366ea50272d1a106e6c8f602648b845c5e2ecae90914050b127e2324b23,ordinary_member; manifest files excluded to avoid circularity
URP4/01_PROJECT_MAP_AND_LEDGER/URP4_1_MASTER_HANDOFF_LEDGER.xlsx,266968,ad56848f58e238bf04e48e90e8697d5b31c1eee0a76984ba1d06b7ffe479b74b,ordinary_member; manifest files excluded to avoid circularity
URP4/01_PROJECT_MAP_AND_LEDGER/WORK_PACKAGE_LEDGER.csv,572334,6bf1a61f6a4ae98db9ee8eeb10c3ed5bf1f46e37e557acaab66816f89952008f,ordinary_member; manifest files excluded to avoid circularity
URP4/02_VERIFIED_CORE_HQ_NB_PY/00_PRIOR_CORE_RELEASE_RECEIPT.json,333,8298daf4f3eca70ddf6984dd2e3021a0512bfe9b0964210e53d47908c8fb0d36,ordinary_member; manifest files excluded to avoid circularity
URP4/02_VERIFIED_CORE_HQ_NB_PY/00_RUNNABLE_HQ_AND_ENGINE/config/HQ_BLUEPRINT_V0_2_STAGE_REGISTRY.json,22097,3ee5dc19265a6aa1cc572f2628d9f8710684192b05e5d348bd8fa5ab76e1661f,ordinary_member; manifest files excluded to avoid circularity
URP4/02_VERIFIED_CORE_HQ_NB_PY/00_RUNNABLE_HQ_AND_ENGINE/configs/default.json,1819,99749b3315f234f5a44e626d610a41fb684294d70a7d0e605115ee796c887096,ordinary_member; manifest files excluded to avoid circularity
URP4/02_VERIFIED_CORE_HQ_NB_PY/00_RUNNABLE_HQ_AND_ENGINE/configs/training_future_run_skeleton.json,444,3093175b935c0da038e9d127ee27f0b9292a7253f08611b168f5d15477e97ed8,ordinary_member; manifest files excluded to avoid circularity
URP4/02_VERIFIED_CORE_HQ_NB_PY/00_RUNNABLE_HQ_AND_ENGINE/configs/training_method_availability.csv,879,7c886546374dd29233dfc7d813ec6d2e2ab4c00740ec8cae6322aae719981d6f,ordinary_member; manifest files excluded to avoid circularity
URP4/02_VERIFIED_CORE_HQ_NB_PY/00_RUNNABLE_HQ_AND_ENGINE/docs/HQ-INTAKE-001_AUDIT_REPORT_20260728.md,2085,3169cda4cbe0c8aff2cbf6712affbb127627e707692abdbfa022c0f450ba5e9a,ordinary_member; manifest files excluded to avoid circularity
URP4/02_VERIFIED_CORE_HQ_NB_PY/00_RUNNABLE_HQ_AND_ENGINE/docs/HQ_SUBMISSION_READINESS_20260728.md,1209,310a7b997c1da218e660372ea380de6873429f7043f4b901ef5b3e37548e2437,ordinary_member; manifest files excluded to avoid circularity
URP4/02_VERIFIED_CORE_HQ_NB_PY/00_RUNNABLE_HQ_AND_ENGINE/docs/submission_audit/URP4-1_HQ_GLOBAL_DEBUG_VALIDATION_AND_SUBMISSION_AUDIT_20260728.md,8611,678b9890b54bb6ecd710ac2191f0d5ccdcc489270ad7fe7bc8e565aea3664a7d,ordinary_member; manifest files excluded to avoid circularity
URP4/02_VERIFIED_CORE_HQ_NB_PY/00_RUNNABLE_HQ_AND_ENGINE/docs/submission_audit/URP4-1_HQ_INCOMPLETE_WORK_QUEUE_20260728.csv,2880,c4be640c8ca52cb8a83bf943d7fcd9d6f2dd841445117b282db6d41ad14df263,ordinary_member; manifest files excluded to avoid circularity
