source_asset_alias,source_asset_sha256,model_id,raw_sample_id,family_id,replicate_id,direction,test_domain,test_condition_id,raw_or_processed,target_id,target_name_raw,target_value,target_unit,processing_formula,exclusion_flag,exclusion_reason,source_sheet_or_table,notes
COMP-Y-AILATTICE-001-150,1A93F6067223AF6F30513E49FF4492D4ABBCCB44D74096196C5E72E39ABAF03D,AI001,CP_Lattice_1.csv,AI_LATTICE,single_received_summary_row,unresolved,compression,unresolved,processed,COMP-Y-MODULUS,Modulus,88.427,unresolved,source_summary_value,false,,experiments/lab_001_xy_connection_20260626/data/raw/doctor_compression_data_20260731/03_ai_lattice_summaries/Ai-Lattice_(1-50)_summary (1).xlsx::Raw data!row2,
COMP-Y-AILATTICE-001-150,1A93F6067223AF6F30513E49FF4492D4ABBCCB44D74096196C5E72E39ABAF03D,AI001,CP_Lattice_1.csv,AI_LATTICE,single_received_summary_row,unresolved,compression,unresolved,processed,COMP-Y-COMP-STRENGTH,Com. Strength,8.085657894945369,unresolved,source_summary_value,false,,experiments/lab_001_xy_connection_20260626/data/raw/doctor_compression_data_20260731/03_ai_lattice_summaries/Ai-Lattice_(1-50)_summary (1).xlsx::Raw data!row2,
COMP-Y-AILATTICE-001-150,1A93F6067223AF6F30513E49FF4492D4ABBCCB44D74096196C5E72E39ABAF03D,AI001,CP_Lattice_1.csv,AI_LATTICE,single_received_summary_row,unresolved,compression,unresolved,processed,COMP-Y-COMP-STRAIN,Com. strain,0.6356206826600858,unresolved,source_summary_value,false,,experiments/lab_001_xy_connection_20260626/data/raw/doctor_compression_data_20260731/03_ai_lattice_summaries/Ai-Lattice_(1-50)_summary (1).xlsx::Raw data!row2,
COMP-Y-AILATTICE-001-150,1A93F6067223AF6F30513E49FF4492D4ABBCCB44D74096196C5E72E39ABAF03D,AI001,CP_Lattice_1.csv,AI_LATTICE,single_received_summary_row,unresolved,compression,unresolved,processed,COMP-Y-APS,APS,4.045386195276437,unresolved,source_summary_value,false,,experiments/lab_001_xy_connection_20260626/data/raw/doctor_compression_data_20260731/03_ai_lattice_summaries/Ai-Lattice_(1-50)_summary (1).xlsx::Raw data!row2,
COMP-Y-AILATTICE-001-150,1A93F6067223AF6F30513E49FF4492D4ABBCCB44D74096196C5E72E39ABAF03D,AI001,CP_Lattice_1.csv,AI_LATTICE,single_received_summary_row,unresolved,compression,unresolved,processed,COMP-Y-AS,AS,3.890746810270143,unresolved,source_summary_value,false,,experiments/lab_001_xy_connection_20260626/data/raw/doctor_compression_data_20260731/03_ai_lattice_summaries/Ai-Lattice_(1-50)_summary (1).xlsx::Raw data!row2,
COMP-Y-AILATTICE-001-150,1A93F6067223AF6F30513E49FF4492D4ABBCCB44D74096196C5E72E39ABAF03D,AI001,CP_Lattice_1.csv,AI_LATTICE,single_received_summary_row,unresolved,compression,unresolved,processed,COMP-Y-YIELD-STRENGTH,Yield strength,4.042828947472684,unresolved,source_summary_value,false,,experiments/lab_001_xy_connection_20260626/data/raw/doctor_compression_data_20260731/03_ai_lattice_summaries/Ai-Lattice_(1-50)_summary (1).xlsx::Raw data!row2,
COMP-Y-AILATTICE-001-150,1A93F6067223AF6F30513E49FF4492D4ABBCCB44D74096196C5E72E39ABAF03D,AI001,CP_Lattice_1.csv,AI_LATTICE,single_received_summary_row,unresolved,compression,unresolved,processed,COMP-Y-YIELD-STRAIN,Yield strain,0.04768964817732708,unresolved,source_summary_value,false,,experiments/lab_001_xy_connection_20260626/data/raw/doctor_compression_data_20260731/03_ai_lattice_summaries/Ai-Lattice_(1-50)_summary (1).xlsx::Raw data!row2,
COMP-Y-AILATTICE-001-150,1A93F6067223AF6F30513E49FF4492D4ABBCCB44D74096196C5E72E39ABAF03D,AI001,CP_Lattice_1.csv,AI_LATTICE,single_received_summary_row,unresolved,compression,unresolved,processed,COMP-Y-LCC,LCC,0.2283582474953033,unresolved,source_summary_value,false,,experiments/lab_001_xy_connection_20260626/data/raw/doctor_compression_data_20260731/03_ai_lattice_summaries/Ai-Lattice_(1-50)_summary (1).xlsx::Raw data!row2,
COMP-Y-AILATTICE-001-150,1A93F6067223AF6F30513E49FF4492D4ABBCCB44D74096196C5E72E39ABAF03D,AI001,CP_Lattice_1.csv,AI_LATTICE,single_received_summary_row,unresolved,compression,unresolved,processed,COMP-Y-EAS,EAS,0.5745871844225606,unresolved,source_summary_value,false,,experiments/lab_001_xy_connection_20260626/data/raw/doctor_compression_data_20260731/03_ai_lattice_summaries/Ai-Lattice_(1-50)_summary (1).xlsx::Raw data!row2,
COMP-Y-AILATTICE-001-150,1A93F6067223AF6F30513E49FF4492D4ABBCCB44D74096196C5E72E39ABAF03D,AI001,CP_Lattice_1.csv,AI_LATTICE,single_received_summary_row,unresolved,compression,unresolved,processed,COMP-Y-DENSIF-STRENGTH,Densif. strength,5.356748355401306,unresolved,source_summary_value,false,,experiments/lab_001_xy_connection_20260626/data/raw/doctor_compression_data_20260731/03_ai_lattice_summaries/Ai-Lattice_(1-50)_summary (1).xlsx::Raw data!row2,
